zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75414,33.62504,-96.43193,TX,2989,152951.2103,163998.8513,181333.6924,204849.017,214058.6753,228653.2657,274990.8993,331412.7665,341468.155,5846,3,3,2507,6
75416,33.67255,-95.35431,TX,2890,126250.7098,129034.8286,139163.6846,145579.0969,146543.2554,156500.7748,187904.6674,224341.6509,217548.5705,6237,3,2,1874,1752
75417,33.43827,-95.13114,TX,2479,99590.88863,98290.66126,99589.23896,113967.5197,117062.352,124403.0205,143026.9872,160368.0933,152399.8904,5107,3,2,2216,635
75418,33.57235,-96.1773,TX,14726,93869.73051,103928.24,116418.1855,129866.6411,143357.3548,153473.5066,181765.6964,218612.5094,216554.9771,23918,4,3,2509,2864
75422,33.13889,-95.93059,TX,2862,155806.5159,168010.6798,186736.3491,202010.1432,222061.6009,243215.8798,290518.5633,349998.5853,355896.843,5406,3,2,1765,418
75423,33.29279,-96.19918,TX,3055,142822.8102,157981.6106,177373.0022,195320.1956,211621.2305,232268.781,277279.4631,327343.3894,330128.7095,5013,4,3,2127,629
75426,33.65608,-95.01093,TX,3774,66417.7547,69380.83789,68389.45478,75721.83827,76076.43113,84446.99373,100538.8359,109359.3534,98848.54935,14482,3,2,1686,2268
75428,33.27132,-95.91799,TX,11000,76830.2088,83295.24816,94550.11622,108985.7293,122067.519,133362.148,160000.9033,196488.8771,200464.8773,20522,3,2,1778,2837
75432,33.38912,-95.66804,TX,3055,74431.75214,78441.85158,83636.37005,86507.04108,94004.30051,99750.86098,123540.0343,153138.1749,152611.3619,7141,3,2,2371,959
75435,33.50175,-95.29522,TX,1137,92028.8563,92537.58765,93446.36419,104211.3836,105963.0346,114263.4498,143158.6509,168772.949,156983.2498,2146,3,2,1578,12
75436,33.73507,-95.24904,TX,2155,111806.8256,111247.1571,116420.8432,125327.2039,126260.2,137539.9225,165758.3077,197374.2529,191676.5306,4661,4,2,2175,2931
